content_id,source,title,source_url,stage,status,started_at,completed_at,duration_seconds,retry_count,error,added_at,pipeline_status
youtube_UEDeptPVNQA,youtube,How to travel Thailand | The PERFECT 2 week Itinerary😍🐘🇹🇭,https://youtube.com/watch?v=UEDeptPVNQA,stage_1_crawl,complete,2025-11-03T18:20:41.011114Z,2025-11-03T18:20:42.651929Z,1.640815,0,,2025-11-03T18:20:39.075649Z,stage_2_chunk_pending
youtube_UEDeptPVNQA,youtube,How to travel Thailand | The PERFECT 2 week Itinerary😍🐘🇹🇭,https://youtube.com/watch?v=UEDeptPVNQA,stage_2_chunk,not_started,,,,0,,2025-11-03T18:20:39.075649Z,stage_2_chunk_pending
youtube_UEDeptPVNQA,youtube,How to travel Thailand | The PERFECT 2 week Itinerary😍🐘🇹🇭,https://youtube.com/watch?v=UEDeptPVNQA,stage_3_extract,not_started,,,,0,,2025-11-03T18:20:39.075649Z,stage_2_chunk_pending
youtube_UEDeptPVNQA,youtube,How to travel Thailand | The PERFECT 2 week Itinerary😍🐘🇹🇭,https://youtube.com/watch?v=UEDeptPVNQA,stage_4_normalize,not_started,,,,0,,2025-11-03T18:20:39.075649Z,stage_2_chunk_pending
youtube_UEDeptPVNQA,youtube,How to travel Thailand | The PERFECT 2 week Itinerary😍🐘🇹🇭,https://youtube.com/watch?v=UEDeptPVNQA,stage_5_embed,not_started,,,,0,,2025-11-03T18:20:39.075649Z,stage_2_chunk_pending
youtube_8m8ReerO060,youtube,THAILAND TRAVEL | 15 Beautiful Places To Visit In Thailand (+ Travel Itineraries & Tips),https://youtube.com/watch?v=8m8ReerO060,stage_1_crawl,complete,2025-11-03T18:20:46.261306Z,2025-11-03T18:20:48.098474Z,1.837168,0,,2025-11-03T18:20:44.407703Z,stage_2_chunk_pending
youtube_8m8ReerO060,youtube,THAILAND TRAVEL | 15 Beautiful Places To Visit In Thailand (+ Travel Itineraries & Tips),https://youtube.com/watch?v=8m8ReerO060,stage_2_chunk,not_started,,,,0,,2025-11-03T18:20:44.407703Z,stage_2_chunk_pending
youtube_8m8ReerO060,youtube,THAILAND TRAVEL | 15 Beautiful Places To Visit In Thailand (+ Travel Itineraries & Tips),https://youtube.com/watch?v=8m8ReerO060,stage_3_extract,not_started,,,,0,,2025-11-03T18:20:44.407703Z,stage_2_chunk_pending
youtube_8m8ReerO060,youtube,THAILAND TRAVEL | 15 Beautiful Places To Visit In Thailand (+ Travel Itineraries & Tips),https://youtube.com/watch?v=8m8ReerO060,stage_4_normalize,not_started,,,,0,,2025-11-03T18:20:44.407703Z,stage_2_chunk_pending
youtube_8m8ReerO060,youtube,THAILAND TRAVEL | 15 Beautiful Places To Visit In Thailand (+ Travel Itineraries & Tips),https://youtube.com/watch?v=8m8ReerO060,stage_5_embed,not_started,,,,0,,2025-11-03T18:20:44.407703Z,stage_2_chunk_pending
